学习策略,学习策略概述,学习策略,是指学习者为了提高学习的效果和效率，有目的有意识地制定的有关学习过程的复杂方案。,是指学习者为了提高学习的效果和效率，有目的有意识地制定的有关学习过程的复杂方案。,是指学习者为了提高学习的效果和效率，有目的有意识地制定的有关学习过程的复杂方案。,是指学习者为了提高学习的效果和效率，有目的有意识地制定的有关学习过程的复杂方案。,是指学习者为了提高学习的效果和效率，有目的有意识地制定的有关学习过程的复杂方案。
学习策略,学习策略概述,学习策略特征,1 学习策略是学习者为了完成学习目标而积极主动的使用的；,1 学习策略是学习者为了完成学习目标而积极主动的使用的；,1 学习策略是学习者为了完成学习目标而积极主动的使用的；,1 学习策略是学习者为了完成学习目标而积极主动的使用的；,1 学习策略是学习者为了完成学习目标而积极主动的使用的；
学习策略,学习策略概述,学习策略特征,2 学习策略是有效学习所需的；,2 学习策略是有效学习所需的；,2 学习策略是有效学习所需的；,2 学习策略是有效学习所需的；,2 学习策略是有效学习所需的；
学习策略,学习策略概述,学习策略特征,3 学习策略是有关学习过程的；,3 学习策略是有关学习过程的；,3 学习策略是有关学习过程的；,3 学习策略是有关学习过程的；,3 学习策略是有关学习过程的；
学习策略,学习策略概述,学习策略特征,4 学习策略是学习者制定的学习计划，由规则和技能构成。,4 学习策略是学习者制定的学习计划，由规则和技能构成。,4 学习策略是学习者制定的学习计划，由规则和技能构成。,4 学习策略是学习者制定的学习计划，由规则和技能构成。,4 学习策略是学习者制定的学习计划，由规则和技能构成。
学习策略,学习策略概述,学习策略分类,1 认知策略；2 元认知策略；3 资源管理策略。,1 认知策略；2 元认知策略；3 资源管理策略。,1 认知策略；2 元认知策略；3 资源管理策略。,1 认知策略；2 元认知策略；3 资源管理策略。,1 认知策略；2 元认知策略；3 资源管理策略。
学习策略,典型的学习策略,认知策略,复述策略,复述策略是在工作记忆中为了保持信息，运用内部语言在大脑中重现学习材料或刺激，以便将注意力维持在学习材料上的方法。,复述策略是在工作记忆中为了保持信息，运用内部语言在大脑中重现学习材料或刺激，以便将注意力维持在学习材料上的方法。,复述策略是在工作记忆中为了保持信息，运用内部语言在大脑中重现学习材料或刺激，以便将注意力维持在学习材料上的方法。,复述策略是在工作记忆中为了保持信息，运用内部语言在大脑中重现学习材料或刺激，以便将注意力维持在学习材料上的方法。
学习策略,典型的学习策略,认知策略,复述策略,方法：1 利用随意识记和有意识记；2 排除相互干扰；3 整体识记和分段识记；4 多种感官参与；5 复习形式多样化；6 画线。,方法：1 利用随意识记和有意识记；2 排除相互干扰；3 整体识记和分段识记；4 多种感官参与；5 复习形式多样化；6 画线。,方法：1 利用随意识记和有意识记；2 排除相互干扰；3 整体识记和分段识记；4 多种感官参与；5 复习形式多样化；6 画线。,方法：1 利用随意识记和有意识记；2 排除相互干扰；3 整体识记和分段识记；4 多种感官参与；5 复习形式多样化；6 画线。
学习策略,典型的学习策略,认知策略,精细加工策略,精细加工策略是一种将新学材料与头脑中已有知识联系起来从而增加新信息的意义的深层加工策略。,精细加工策略是一种将新学材料与头脑中已有知识联系起来从而增加新信息的意义的深层加工策略。,精细加工策略是一种将新学材料与头脑中已有知识联系起来从而增加新信息的意义的深层加工策略。,精细加工策略是一种将新学材料与头脑中已有知识联系起来从而增加新信息的意义的深层加工策略。
学习策略,典型的学习策略,认知策略,精细加工策略,1 记忆法；2 做笔记；3 提问；4 生成性学习；5 利用背景知识，联系实际。,1 记忆法；2 做笔记；3 提问；4 生成性学习；5 利用背景知识，联系实际。,1 记忆法；2 做笔记；3 提问；4 生成性学习；5 利用背景知识，联系实际。,1 记忆法；2 做笔记；3 提问；4 生成性学习；5 利用背景知识，联系实际。
学习策略,典型的学习策略,认知策略,组织策略,组织策略是整合所学新知识之间的内在联系，形成新的知识结构。,组织策略是整合所学新知识之间的内在联系，形成新的知识结构。,组织策略是整合所学新知识之间的内在联系，形成新的知识结构。,组织策略是整合所学新知识之间的内在联系，形成新的知识结构。
学习策略,典型的学习策略,认知策略,组织策略,1 列提纲；2 利用图形（系统结构图、流程图、模式或模型图、网络关系图）；3 利用表格（一览表、双向表）。,1 列提纲；2 利用图形（系统结构图、流程图、模式或模型图、网络关系图）；3 利用表格（一览表、双向表）。,1 列提纲；2 利用图形（系统结构图、流程图、模式或模型图、网络关系图）；3 利用表格（一览表、双向表）。,1 列提纲；2 利用图形（系统结构图、流程图、模式或模型图、网络关系图）；3 利用表格（一览表、双向表）。
学习策略,典型的学习策略,元认知策略,是对认知的认知，具体的说是关于个人自己认知过程的知识和调节这些过程的能力。它具有两个独立但又相互联系的成分：对认知过程的知识和观念与对认知过程的调整和修改。,是对认知的认知，具体的说是关于个人自己认知过程的知识和调节这些过程的能力。它具有两个独立但又相互联系的成分：对认知过程的知识和观念与对认知过程的调整和修改。,是对认知的认知，具体的说是关于个人自己认知过程的知识和调节这些过程的能力。它具有两个独立但又相互联系的成分：对认知过程的知识和观念与对认知过程的调整和修改。,是对认知的认知，具体的说是关于个人自己认知过程的知识和调节这些过程的能力。它具有两个独立但又相互联系的成分：对认知过程的知识和观念与对认知过程的调整和修改。,是对认知的认知，具体的说是关于个人自己认知过程的知识和调节这些过程的能力。它具有两个独立但又相互联系的成分：对认知过程的知识和观念与对认知过程的调整和修改。
学习策略,典型的学习策略,元认知策略,内容包括,1 对个人作为学习者的认识；2 对任务的认识；3 对有关学习策略及其使用方面的认识。,1 对个人作为学习者的认识；2 对任务的认识；3 对有关学习策略及其使用方面的认识。,1 对个人作为学习者的认识；2 对任务的认识；3 对有关学习策略及其使用方面的认识。,1 对个人作为学习者的认识；2 对任务的认识；3 对有关学习策略及其使用方面的认识。
学习策略,典型的学习策略,元认知策略,元认知控制过程,1 制定认知计划；2 监视计划的执行；3 对认知过程的调节与修改。,1 制定认知计划；2 监视计划的执行；3 对认知过程的调节与修改。,1 制定认知计划；2 监视计划的执行；3 对认知过程的调节与修改。,1 制定认知计划；2 监视计划的执行；3 对认知过程的调节与修改。
学习策略,典型的学习策略,元认知策略,计划策略,1 设置学习目标；2 浏览阅读材料；3 产生待回答的问题；4 分析如何完成学习任务。,1 设置学习目标；2 浏览阅读材料；3 产生待回答的问题；4 分析如何完成学习任务。,1 设置学习目标；2 浏览阅读材料；3 产生待回答的问题；4 分析如何完成学习任务。,1 设置学习目标；2 浏览阅读材料；3 产生待回答的问题；4 分析如何完成学习任务。
学习策略,典型的学习策略,元认知策略,监视策略,1 阅读时对注意加以跟踪；2 对材料进行自我提问；3 考试时监视自己的速度和时间。,1 阅读时对注意加以跟踪；2 对材料进行自我提问；3 考试时监视自己的速度和时间。,1 阅读时对注意加以跟踪；2 对材料进行自我提问；3 考试时监视自己的速度和时间。,1 阅读时对注意加以跟踪；2 对材料进行自我提问；3 考试时监视自己的速度和时间。
学习策略,典型的学习策略,元认知策略,调节策略,能帮助学生矫正他们的学习行为使他们补救理解上的不足。,能帮助学生矫正他们的学习行为使他们补救理解上的不足。,能帮助学生矫正他们的学习行为使他们补救理解上的不足。,能帮助学生矫正他们的学习行为使他们补救理解上的不足。
