技能的形成,技能的一般概述,技能及其特点,技能：通过练习而形成的合乎法则的活动方式。,技能：通过练习而形成的合乎法则的活动方式。,技能：通过练习而形成的合乎法则的活动方式。
技能的形成,技能的一般概述,技能及其特点,特点,1 技能是通过学习或练习而形成的，不同于本能行为；,1 技能是通过学习或练习而形成的，不同于本能行为；
技能的形成,技能的一般概述,技能及其特点,特点,2 技能是一种活动方式，是由一系列动作及其执行方式构成的属于动作经验不同于认知经验的知识；,2 技能是一种活动方式，是由一系列动作及其执行方式构成的属于动作经验不同于认知经验的知识；
技能的形成,技能的一般概述,技能及其特点,特点,3 技能中的各种动作要素及其执行顺序要体现活动本身的客观法则的要求，不是一般的习惯动作。,3 技能中的各种动作要素及其执行顺序要体现活动本身的客观法则的要求，不是一般的习惯动作。
技能的形成,技能的一般概述,技能的种类,操作技能,操作技能：也叫动作技能、运动技能，是通过学习而形成的合法则的操作活动方式。,操作技能：也叫动作技能、运动技能，是通过学习而形成的合法则的操作活动方式。
技能的形成,技能的一般概述,技能的种类,操作技能,特点：,1 就动作对象而言具有客观性；
技能的形成,技能的一般概述,技能的种类,操作技能,特点：,2 就动作的进行而言具有外显性；
技能的形成,技能的一般概述,技能的种类,操作技能,特点：,3 就动作的结构而言具有展开性。
技能的形成,技能的一般概述,技能的种类,操作技能,分类,1 细微型操作技能、粗放型操作技能
技能的形成,技能的一般概述,技能的种类,操作技能,分类,2 连续型操作技能、断续型操作技能
技能的形成,技能的一般概述,技能的种类,操作技能,分类,3 闭合型操作技能、开放型操作技能
技能的形成,技能的一般概述,技能的种类,操作技能,分类,4 徒手型操作技能、器械型操作技能
技能的形成,技能的一般概述,技能的种类,心智技能,心智技能,也称智力技能、认知技能，是通过学习而形成的合法则的心智活动方式。
技能的形成,技能的一般概述,技能的种类,心智技能,特点,1 对象具有观念性；
技能的形成,技能的一般概述,技能的种类,心智技能,特点,2 执行具有内潜性；
技能的形成,技能的一般概述,技能的种类,心智技能,特点,3 结构具有简缩性。
技能的形成,技能的一般概述,技能的作用,1 对活动进行调节与控制；,1 对活动进行调节与控制；,1 对活动进行调节与控制；
技能的形成,技能的一般概述,技能的作用,2 是获得经验、解决问题、变革现实的前提条件。,2 是获得经验、解决问题、变革现实的前提条件。,2 是获得经验、解决问题、变革现实的前提条件。
技能的形成,操作技能的形成,操作技能的形成阶段,操作定向,即了解操作活动的结构与要求，在头脑中建立起操作活动的定向映像的过程。,即了解操作活动的结构与要求，在头脑中建立起操作活动的定向映像的过程。
技能的形成,操作技能的形成,操作技能的形成阶段,操作模仿,实际再现出特定的动作方式或行为模式。,实际再现出特定的动作方式或行为模式。
技能的形成,操作技能的形成,操作技能的形成阶段,操作整合,把模仿阶段习得的动作固定下来，并使各动作成分相互结合，成为定型的、一体化的动作。,把模仿阶段习得的动作固定下来，并使各动作成分相互结合，成为定型的、一体化的动作。
技能的形成,操作技能的形成,操作技能的形成阶段,操作熟练,指所形成的动作方式对各种变化的条件具有高度的适应性，动作的执行具有高度的完善化和自动化。,指所形成的动作方式对各种变化的条件具有高度的适应性，动作的执行具有高度的完善化和自动化。
技能的形成,操作技能的形成,操作技能的培训要求,1 准确的示范与讲解,1 准确的示范与讲解,1 准确的示范与讲解
技能的形成,操作技能的形成,操作技能的培训要求,2 必要而适当的练习,2 必要而适当的练习,2 必要而适当的练习
技能的形成,操作技能的形成,操作技能的培训要求,3 充分而有效的反馈,3 充分而有效的反馈,3 充分而有效的反馈
技能的形成,操作技能的形成,操作技能的培训要求,4 建立稳定清晰的动觉。,4 建立稳定清晰的动觉。,4 建立稳定清晰的动觉。
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,加里培林（苏联）的心智动作按阶段形成理论,加里培林（苏联）的心智动作按阶段形成理论,1 动作的定向阶段；
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,加里培林（苏联）的心智动作按阶段形成理论,加里培林（苏联）的心智动作按阶段形成理论,2 物质与物质化阶段；
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,加里培林（苏联）的心智动作按阶段形成理论,加里培林（苏联）的心智动作按阶段形成理论,3 出声的外部言语动作阶段；
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,加里培林（苏联）的心智动作按阶段形成理论,加里培林（苏联）的心智动作按阶段形成理论,4 不出声的外部言语动作阶段；
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,加里培林（苏联）的心智动作按阶段形成理论,加里培林（苏联）的心智动作按阶段形成理论,5 内部言语动作阶段。
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,安德森的心智技能形成三阶段,安德森的心智技能形成三阶段,1 认知阶段；2 联结阶段；3 自动化阶段。
技能的形成,心智技能的形成,有关心智技能形成的理论探讨,我国教育心理学家,我国教育心理学家,1 原型定向；2 原型操作；3 原型内化。
技能的形成,心智技能的形成,心智技能原型的模拟,心理模拟法步骤,心理模拟法步骤,1 创拟确立模型；2 检验和修正模型。
技能的形成,心智技能的形成,心智技能原型的模拟,把专家头脑中的经验“内化”为学生自己经验的过程，就是心智技能形成的过程。,把专家头脑中的经验“内化”为学生自己经验的过程，就是心智技能形成的过程。,把专家头脑中的经验“内化”为学生自己经验的过程，就是心智技能形成的过程。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,学习任务,1 确定所学心智技能的实践模式；
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,学习任务,2 要使这种实践的动作结构在头脑中得到清晰的反映。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,为了完成任务教师必须做到,1 要使学生了解活动的结构，即了解构成活动的各个动作要素及动作之间的执行顺序，并了解动作的执行方式。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,为了完成任务教师必须做到,2 要使学生了解各个动作要素、动作执行顺序和动作执行方式的各种规定的必要性，提高学生学习的自觉性。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,为了完成任务教师必须做到,3 采取有效措施发挥学生的主动性与独立性。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型定向,为了完成任务教师必须做到,4 教师的示范要正确，讲解要确切，动作指令要明确。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型操作,所谓原型操作就是依据心智技能的实践模式，把主体在头脑中建立起来的活动程序计划，以外显的操作方式付诸实施。,所谓原型操作就是依据心智技能的实践模式，把主体在头脑中建立起来的活动程序计划，以外显的操作方式付诸实施。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型操作,教师必须做到,1 要使心智活动的所有动作以展开的方式呈现；
技能的形成,心智技能的形成,心智技能的分阶段形成,原型操作,教师必须做到,2 要注意变更活动的对象，使心智活动在直觉水平上得以概括，从而形成关于活动的表象；
技能的形成,心智技能的形成,心智技能的分阶段形成,原型操作,教师必须做到,3 要注意活动的掌握程度，并适时向下一阶段转化；
技能的形成,心智技能的形成,心智技能的分阶段形成,原型操作,教师必须做到,4 为了使活动方式顺利内化，动作的执行应注意与言语相结合，一边进行实际操作，一边用言语来标志和组织动作的执行。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型内化,所谓原型内化，即心智活动的实践模式向头脑内部转化，由物质的、外显的、展开的形式变成观念的、内潜的、简缩的形式的过程。,所谓原型内化，即心智活动的实践模式向头脑内部转化，由物质的、外显的、展开的形式变成观念的、内潜的、简缩的形式的过程。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型内化,教师必须做到,1 动作的执行应遵循由出声的外部言语到不出声的外部言语再到内部言语的顺序，不能颠倒
技能的形成,心智技能的形成,心智技能的分阶段形成,原型内化,教师必须做到,2 在开始阶段，操作活动应在言语水平上完全展开，即用出声或不出声的外部言语完整地描述原型的操作过程。然后，再逐渐缩减。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型内化,教师必须做到,3 在这一阶段也要注意变换动作对象，是活动方式得以进一步概括，以便广泛适用于同类课题。
技能的形成,心智技能的形成,心智技能的分阶段形成,原型内化,教师必须做到,4 在进行由出声到不出声、由展开到压缩的转化过程中，也要注意活动的掌握程度，不能过早转化，也不宜过迟，而应适时。
技能的形成,心智技能的形成,心智技能的培养要求,1 激发学习的积极性与主动性；,1 激发学习的积极性与主动性；,1 激发学习的积极性与主动性；
技能的形成,心智技能的形成,心智技能的培养要求,2 注意原型的完备性、独立性与概括性；,2 注意原型的完备性、独立性与概括性；,2 注意原型的完备性、独立性与概括性；
技能的形成,心智技能的形成,心智技能的培养要求,3 适应培养的阶段特征，正确使用言语。,3 适应培养的阶段特征，正确使用言语。,3 适应培养的阶段特征，正确使用言语。
